ID Number,Date_Began,Year,General_Date (if date_began unknown),OrgName,Location (State),State,County,County,Primary CI Sector targeted,Secondary CI Sector,Strain,MITRE ATT&CK Software ID [if exists],"Duration (days, unless specified)",Duration Rank,Ransom Amount,Local Currency,RansomScale,PaidStatus,PayMethod (only if paid),AmtPaid,Source,Related incidents,Comments
243,11/21/2018,2018,,KrausMaffei,Germany,,,,Critical Manufacturing,,BitPaymer,,,,,,,,,,https://techcrunch.com/2019/04/02/arizona-beverages-ransomware/,,
244,11/22/2018,2018,,Rockaway Township PD,NJ,,,,Emergency Services,,,,,,,,,,,,https://www.dailyrecord.com/story/news/local/morris-county/2018/11/26/rockaway-twp-police-computers-down-after-possible-cyber-attack/2118354002/,,
245,11/29/2018,2018,,Thundermist Health Center,RI,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.wpri.com/news/local-news/blackstone-valley/thundermist-health-center-dealing-with-ransomware-attack/,,
246,12/17/2018,2018,,Town of Jupiter,FL,Florida,Palm Beach County,"Palm Beach County, FL",Government Facilities,,Nozelesn,,,,,,,No,N/A,N/A,https://cbs12.com/news/local/town-of-jupiter-hit-by-malware-attack,,
247,1/4/2019,2019,,Bridgeport School Systems,CT,Connecticut,Fairfield County,"Fairfield County, CT",Education Facilities Subsector,,,,,,,,,,,,https://www.ctpost.com/local/article/Bridgeport-Schools-computer-network-hit-by-13515819.php,,
248,1/9/2019,2019,,Salisbury PD,MD,,,,Emergency Services,,,,,,,,,No,N/A,N/A,http://www.wboc.com/story/39841796/salisbury-police-department-faces-worst-computer-network-attack-in-history,,
249,1/10/2019,2019,,City of Del Rio,TX,Texas,Val Verde County,"Val Verde County, TX",Government Facilities,,,,,,,,,,,,https://securitytoday.com/articles/2019/01/15/ransomware-attack-closes-down-texas-town.aspx,,
250,1/22/2019,2019,,Nyrstar,Switzerland,,,,Critical Manufacturing,,,,,,,,,,,,https://www.cybersecurity-insiders.com/belgium-metal-producer-nyrstar-hit-by-a-ransomware-attack/,,
251,1/22/2019,2019,,Akron,OH,Ohio,Summit County,"Summit County, OH",Government Facilities,,,,,,,,,No,N/A,N/A,https://statescoop.com/ransomware-attack-on-akron-ohio-takes-down-311-service-amid-major-snowstorm/,,
252,1/23/2019,2019,,City of Sammamish,WA,Washington,King County,"King County, WA",Government Facilities,,,,,,,,,No,N/A,N/A,https://patch.com/washington/sammamish/ransomware-attack-hits-sammamish-city-computer-system,,
253,1/24/2019,2019,,Altran Technologies,France,,,,Information Technology,,LockerGoga,S0372,,,,,,,,,https://www.bleepingcomputer.com/news/security/new-lockergoga-ransomware-allegedly-used-in-altran-attack/,,
254,2/4/2019,2019,,Mt. Zion School District,IL,Illinois,Macon County,"Macon County, IL",Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://herald-review.com/news/state-and-regional/crime-and-courts/foreign-hackers-infiltrate-mount-zion-school-district-computer-system-most/article_ee9376f3-85e9-53b7-a490-721660f2f151.html,,
255,2/4/2019,2019,,"Rainbow Dental Care, PLLC",TX,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.beaumontenterprise.com/news/article/Beaumont-dental-clinic-breached-by-ransomware-15185166.php,,
256,2/11/2019,2019,,"Fort Collins-Loveland Water District and the South For Collins Sanitation District, Colorado",CO,,,,Water and Wastewater Systems,,,,3 weeks,1 month or less,,,,No,N/A,N/A,https://www.eenews.net/stories/1060131769,,
257,2/25/2019,2019,,Network Tallahassee,FL,,,,Communications,,,,1 day,1 day or less,"$6,000 ","$6,000 ",$50000 or less,Yes,,"$6,000",https://www.tallahassee.com/story/news/money/2019/02/26/network-tallahassee-internet-provided-hacked-pays-ransom-get-back-online/2991190002/,,
258,2/25/2019,2019,,Park Rapids School System,MN,Minnesota,Hubbard County,"Hubbard County, MN",Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://www.parkrapidsenterprise.com/news/education/4579363-park-rapids-schools-hit-ransomware-attack,,
259,2/27/2019,2019,,Committee for Public Counsel,MA,Massachusetts,,", MA",Government Facilities,,Ryuk,S0446,,,Undisclosed bitcoin,,,No,N/A,N/A,https://www.bostonglobe.com/business/2019/03/12/cyberattack-with-ransom-demand-has-disrupted-public-defenders-for-weeks/6TkoNMGrHbnzT7tsMI2xoO/story.html,,
260,2/28/2019,2019,,Taos Municipal School District,NM,New Mexico,Taos County,"Taos County, NM",Education Facilities Subsector,,,,6 hours,1 day or less,"$5,000 ","$5,000",$50000 or less,No,N/A,N/A,"https://www.taosnews.com/stories/taos-schools-resolving-ransomware-attack,55866",,
261,3/1/2019,2019,"Unspecified, March , 2019","Jackson County, Georgia",GA,Georgia,Jackson County,"Jackson County, GA",Government Facilities,,Ryuk,S0446,,,"$400,000 ","$400,000 ",$1000000 or less,Yes,,"$400,000",https://www.msspalert.com/cybersecurity-breaches-and-attacks/ransomware/georgia-county-pays-400000/,,
262,3/1/2019,2019,"Unspecified, March 2019","Brookside Medical Center, Battle Creek, MI",MI,,,,Healthcare and Public Health,,,,Never Recovered,Never Recovered,6500,6500,$50000 or less,No,N/A,N/A,https://www.battlecreekenquirer.com/story/news/local/2019/08/22/ransomware-attack-john-bizon-william-scalf-medical-practice/2062806001/; https://blog.emsisoft.com/en/34822/the-state-of-ransomware-in-the-us-report-and-statistics-2019/,,Center had to shut down permanently 
263,3/1/2019,2019,"Unspecified, March, 2019",Fisher County PD,TX,,,,Emergency Services,,,,,,,,,No,N/A,N/A,https://www.fishercountychronicle.com/articles/2019/03/29/fisher-county-sheriff%E2%80%98s-office-network-held-ransom,,
264,3/6/2019,2019,,Plymouth and Plymouth PD,CT,Connecticut,Litchfield County,"Litchfield County, CT",Government Facilities,Emergency Services,,,,,Undisclosed bitcoin,,,No,N/A,N/A,http://www.bristolpress.com/BP-Plymouth+News/346297/plymouth-officials-work-to-get-system-back-online-after-cyber-attack,,
265,3/9/2019,2019,,The Police Federation of England and Wales (PFEW),England and Wales,,,,Government Facilities,Emergency Services,,,,,,,,,,,https://www.zdnet.com/article/police-federation-hit-by-ransomware-attack/,,
266,3/12/2019,2019,,Momentive (industrial firm),NY,,,,Critical Manufacturing,Chemical,LockerGoga,S0372,,,Undisclosed Bitcoin,,,,,,https://www.vice.com/en/article/8xyj7g/ransomware-forces-two-chemical-companies-to-order-hundreds-of-new-computers,,
267,3/18/2019,2019,,Norsk Hydro,Norway,,,,Critical Manufacturing,,LockerGoga,S0372,,,,,,No,N/A,N/A,https://www.securityweek.com/ransomware-attack-costs-norsk-hydro-tens-millions-dollars,,
268,3/18/2019,2019,,Orange County (and PD),NC,North Carolina,Orange County,"Orange County, NC",Government Facilities,Emergency Services,,,,,,,,No,N/A,N/A,https://www.heraldsun.com/news/local/article228089459.html,,
269,3/19/2019,2019,,Mitsubishi Canada Aerospace,Canada,,,,Critical Manufacturing,,Ryuk,S0446,Weeks,1 month or less,Undisclosed bitcoin,,,,,,https://www.sirkit.ca/blog/3-cyber-attacks-in-canada-a-wake-call-for-business/,,
270,3/21/2019,2019,,Arizona Beverages,NY,,,,Food and Agriculture,,Bitpaymer,,2 weeks,1 month or less,,,,No,N/A,N/A,https://techcrunch.com/2019/04/02/arizona-beverages-ransomware/,,
271,3/22/2019,2019,,Hexion Inc. and MPM Holdings Inc.,OH,,,,Critical Manufacturing,Information Technology,LockerGoga,S0372,,,,,,,,,https://www.businesswire.com/news/home/20190322005490/en/Hexion-Addresses-Network-Security-Incident; https://www.wired.com/story/lockergoga-ransomware-crippling-industrial-firms/,,
272,3/30/2019,2019,,"City of Albany, New york",NY,New York,Albany County,"Albany County, NY",Government Facilities,,,,3 days,1 week or less,,,,No,N/A,N/A,https://wnyt.com/news/albany-ransomware-attack/5300397/,,
273,4/1/2019,2019,,City of Lodi,CA,California,San Joaquin County,"San Joaquin County, CA",Government Facilities,,,,,,75 bitcoin,"$400,000 ",$1000000 or less,No,N/A,N/A,https://www.govtech.com/news/Small-Town-Nearly-Done-Recovering-from-Ransomware-Attack.html,,
274,4/1/2019,2019,,Townsquare Media,USA,,,,Communications,,Cryptolocker,,,,,,,,,,https://radioinsight.com/headlines/175822/townsquare-media-stations-taken-down-by-ransomware-attack/,,
275,4/1/2019,2019,,Potter County Sheriff's Office,TX,Texas,Potter County,"Potter County, TX",Government Facilities,,,,2 months,More than 1 month,,,,,,,https://www.myhighplains.com/news/local-news/potter-county-sheriffs-office-continues-to-recover-from-ransomware-attack/,,
276,4/1/2019,2019,"Unspecified, April, 2019",Garfield County,UT,Utah,Garfield County,"Garfield County, UT",Government Facilities,,,,,,,,,Yes,bitcoin,,https://fox13now.com/2019/04/11/ransomware-attack-hits-garfield-county-shutting-off-its-computer-access-for-weeks/,,
277,4/2/2019,2019,,Park Duvalle Community Health Center,KY,,,,Healthcare and Public Health,,,,3 weeks,1 month or less,,,,No,N/A,N/A,https://www.wdrb.com/in-depth/park-duvalle-health-center-pays-ransom-for-patient-records-in/article_68416546-af0b-11e9-ba4d-0bd49b023c3e.html,,
278,4/2/2019,2019,,Genessee County,MI,Michigan,Genesee County,"Genesee County, MI",Government Facilities,,,,,,,,,No,N/A,N/A,https://www.google.com/search?q=how+much+was+the+genessee+county+ransom&rlz=1C1GCEB_enUS860US862&oq=how+much+was+the+genessee+county+ransom&aqs=chrome..69i57j33.5319j0j4&sourceid=chrome&ie=UTF-8,,
279,4/10/2019,2019,,"City of Greenville, NC",NC,North Carolina,Pitt County,"Pitt County, NC",Government Facilities,,RobbinHood,S0400,,,,,,No,N/A,N/A,https://wcti12.com/news/local/city-of-greenville-says-it-has-resolved-ransomware-attack-without-having-to-pay; http://www.theeastcarolinian.com/news/article_0e589de8-5bea-11e9-896b-f7fe9a51c832.html,,
280,4/13/2019,2019,,Imperial County,CA,California,Imperial County,"Imperial County, CA",Government Facilities,,Ryuk,S0446,,,1.2 million USD in bitcoin,1.2 million USD,$5000000 or less,No,N/A,N/A,https://www.tribwekchron.com/single-post/2019/04/25/Imperial-County-Refuses-Ransomware-Demands-Rebuilds-Network; https://holtvilletribune.com/2020/08/imperial-valley-news/ivc-online-classes-delayed-due-to-ransomware/,,via employee phishing email
281,4/13/2019,2019,,Stuart City,FL,Florida,Martin County,"Martin County, FL",Government Facilities,,Ryuk,S0446,More than 6 weeks,More than 1 month,"$300,000 in bitcoin","$300,000 ",$1000000 or less,No,N/A,N/A,https://www.wptv.com/news/region-martin-county/stuart/fbi-investigating-ransomware-targeting-city-of-stuart; https://nakedsecurity.sophos.com/2020/02/28/ransomware-wipes-evidence-lets-suspected-drug-dealers-walk-free/,,
282,4/17/2019,2019,,Verint- Cybersecurity firm,Israel,,,,Information technology,,,,,,,,,,,,https://www.zdnet.com/article/cyber-security-firm-verint-hit-by-ransomware/,,
283,4/18/2019,2019,,The weather channel Atlanta,GA,,,,Communications,,,,90 minutes,1 day or less,,,,No,N/A,N/A,https://www.zdnet.com/article/the-weather-channel-goes-off-the-air-for-90-minutes-after-ransomware-infection/,,
284,4/18/2019,2019,,"City of Augusta, Maine",ME,Maine,Kennebec County,"Kennebec County, ME",Government Facilities,,,,days,1 week or less,~$100000,"~$100,000",$100000 or less,No,N/A,N/A,https://www.newscentermaine.com/article/news/augusta-city-offices-hit-by-computer-virus/97-2e380b61-5e75-4627-b8a1-b3b3af6e23e2; https://www.msspalert.com/cybersecurity-news/augusta-maine-malware-attack/,,
285,4/21/2019,2019,,Cleveland Hopkins International Airport,OH,,,,Transportation Systems,,,,,,,,,No,N/A,N/A,https://www.cybersecurity-insiders.com/ransomware-attack-on-cleveland-hopkins-international-airport/,,
286,4/23/2019,2019,,Aebi Schmidt,Switzerland,,,,Critical Manufacturing,,,,Days,1 week or less,,,,,,,https://techcrunch.com/2019/04/23/aebi-schmidt-ransomware/,,
287,4/28/2019,2019,,Daviess County Public Library,KY,Kentucky,Daviess County,"Daviess County, KY",Government Facilities,,Cryptolocker,,,,"$30,947 ","$30,947 ",$50000 or less,No,N/A,N/A,https://www.messenger-inquirer.com/news/local/library-officials-confident-post-ransomware-attack/article_c9f09ce3-f851-577d-96ad-a6ce430018d1.html,,
288,5/1/2019,2019,May-19,District of Squamish,Canada,,,,Government Facilities,,,,,,,,,No,N/A,N/A,https://www.squamishchief.com/news/local-news/ransomware-attack-corrupts-many-of-squamish-s-municipal-computer-server-files-1.23916590,,
289,5/1/2019,2019,"Unspecified, May 2016",Rhinebeck School District,NY,New York,Dutchess County,"Dutchess County, NY",Education Facilities Subsector,,,,,,$500 ,$500 ,$1000 or less,No,N/A,N/A,https://www.dailyfreeman.com/news/rhinebeck-school-district-computer-system-attacked-by-ransomware/article_2314d174-3c5a-5feb-a89f-70b6b36e24bc.html,,
290,5/4/2019,2019,,City of Cartersville,GA,Georgia,Bartow County,"Bartow County, GA",Government Facilities,,Ryuk,S0446,6 days,1 week or less,$2.8 million,$2.8 million,$5000000 or less,Yes,Bitcoin,"$380,000 in bitcoin",https://www.msspalert.com/cybersecurity-breaches-and-attacks/ransomware/georgia-cartersville-city-pays-380k-ransom/,,
291,5/6/2019,2019,,"Washington County, PA",PA,Pennsylvania,Washington County,"Washington County, PA",Government Facilities,,,,2 weeks,1 month or less,,,,Yes,,"$21,250",https://observer-reporter.com/news/localnews/city-weighs-new-computer-security-measures-following-ransomware-attack/article_99d2efc6-b3a2-11e9-a7b4-379694cd118e.html,,
292,5/6/2019,2019,,Metro Presort,OR,,,,Communications,Healthcare and Public Health,Ryuk,S0446,,,,,,No,N/A,N/A,https://www.beckershospitalreview.com/cybersecurity/ransomware-attack-on-mailing-service-exposes-info-of-20-000-oregon-clinic-patients.html,,
293,5/7/2019,2019,,City of Baltimore,MD,Maryland,Baltimore city,"Baltimore city, MD",Government Facilities,,RobbinHood,S0400,weeks,1 month or less,13 bitcoin,"$76,280 ",$100000 or less,No,N/A,N/A,https://www.msspalert.com/cybersecurity-news/ransomware-attack-hits-baltimore-city-servers/,,estimated cost of recovery at least $18.2 million
294,5/10/2019,2019,,CloudJumper,TX,,,,Information Technology,,Ryuk,S0446,,,,,,No,N/A,N/A,https://www.msspalert.com/cybersecurity-breaches-and-attacks/ransomware/ryuk-ransomware-hits-msp-centric-csp/,,
295,5/18/2019,2019,,WMNF Tampa,FL,,,,Communications,,,,,,,,,No,N/A,N/A,https://www.tampabay.com/breaking-news/radio-station-wmnf-victim-of-ransomware-cyberattack-20190717/,,
296,5/25/2019,2019,,City of Edcouch,TX,Texas,Hidalgo County,"Hidalgo County, TX",Government Facilities,,DoppelPaymer,,,,8 bitcoin,"$40,000 ",$50000 or less,,,,https://www.themonitor.com/2019/06/08/edcouch-server-hit-ransomware/,,
297,5/29/2019,2019,5/29/2019-6/17/2019,"Riviera Beach, Florida",FL,Florida,Palm Beach County,"Palm Beach County, FL",Government Facilities,,,,around 3 weeks,1 month or less,65 bitcoin,"603,000",$1000000 or less,yes,bitcoin,"$600,000",https://www.nytimes.com/2019/06/27/us/lake-city-florida-ransom-cyberattack.html  https://securityaffairs.co/wordpress/87381/breaking-news/riviera-beach-city-ransomware.html,,
298,6/1/2019,2019,Jun-19,Chilean Ministry of Agriculture,Chile,,,,Food and Agriculture,,DoppelPaymer,,,,,,,,,,https://www.bleepingcomputer.com/news/security/new-doppelpaymer-ransomware-emerges-from-bitpaymers-code/,,
299,6/1/2019,2019,"Unspecified, June 2019",UBX Cloud MSP- company name undisclosed,Undisclosed,,,,Information Technology,,,,,,Undisclosed bitcoin,"$150,000 ",$1000000 or less,Yes,bitcoin,"$150,000",https://www.msspalert.com/cybersecurity-breaches-and-attacks/ransomware/msp-pays-150000-to-recover-data/,,
300,6/1/2019,2019,Jun-19,Wolcott School District,CT,,,,Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://www.fox61.com/article/news/local/other-ransomware-attacks-in-connecticut/520-0954fbed-1eff-40ba-b3a3-8eba937c90f0,September attack on same school,
301,6/5/2019,2019,,Eurofins Scientific,United Kingdom,,,,Chemical,,,,3 weeks,1 month or less,,,,Yes,,,https://www.bbc.com/news/uk-48881959,,
302,6/7/2019,2019,,ASCO,Belgium,,,,Critical Manufacturing,,,,1 week,1 week or less,,,,,,,https://www.zdnet.com/article/ransomware-halts-production-for-days-at-major-airplane-parts-manufacturer/,,
303,6/7/2019,2019,,Park Duvalle Community Health Center,KY,,,,Healthcare and Public Health,,,,2 months,More than 1 month,6 bitcoin,"$70,000 ",$100000 or less,Yes,bitcoin,6 bitcoin,https://healthitsecurity.com/news/enloe-medical-remains-in-ehr-downtime-2-weeks-after-cyberattack        https://www.wdrb.com/in-depth/park-duvalle-health-center-pays-ransom-for-patient-records-in/article_68416546-af0b-11e9-ba4d-0bd49b023c3e.html,,
304,6/8/2019,2019,,Pawtucket Fire Department,RI,,,,Emergency Services,,,,,,,,,,,,https://www.wpri.com/target-12/pawtuckets-hacked-computers-still-down-as-investigation-continues/,,
305,6/10/2019,2019,6/10/2019-6/26/2019,"Lake City, Florida",FL,Florida,Columbia County,"Columbia County, FL",Government Facilities,,Ryuk,S0446,2 weeks,1 month or less,42 bitcoin,"$460,000 ",$1000000 or less,Yes,bitcoin,"$460,000",https://www.nytimes.com/2019/06/27/us/lake-city-florida-ransom-cyberattack.html,,
306,6/15/2019,2019,,"A. Duie Pyle (west chester, PA)",PA,,,,Transportation Systems,,,,,,,,,No,N/A,N/A,https://www.joc.com/trucking-logistics/ltl-trucking-logistics/duie-pyle/cyber-attack-hits-us-ltl-trucker-duie-pyle_20190617.html,,
307,6/18/2019,2019,,IT By Design,NJ,,,,Information Technology,,,,2 days,1 week or less,,,,No,N/A,N/A,https://www.crn.com/news/managed-services/it-by-design-network-restored-after-ransomware-attack-that-impacted-8-customers,,
308,6/24/2019,2019,,"Village of Key Biscayne, Florida",FL,Florida,Miami-Dade County,"Miami-Dade County, FL",Government Facilities,,Ryuk,S0446,1 week,1 week or less,,,,No,N/A,N/A,https://www.miamiherald.com/news/business/article232011757.html,,
309,7/1/2019,2019,,Georgia Administrative Office of the Courts,GA,Georgia,Fulton County,"Fulton County, GA",Government Facilities,,,,,,,,,,,,https://www.ajc.com/news/state--regional-govt--politics/georgia-court-agency-hacked-ransom-attack/P3UaTuigNhT6JfREQaiKZK/,,
310,7/1/2019,2019,"Unspecified, July 2019",Sarrell Dental and Eye Centers,AL,,,,Healthcare and Public Health,,,,2 weeks,1 month or less,,,,No,N/A,N/A,https://www.compliancejunction.com/sarrell-dental-ransomware-attack-impacts-391472-patients/,,
311,7/1/2019,2019,Jul-18,Gadsden Independent School District,NM,New Mexico,Doña Ana County,"Doña Ana County, NM",Education Facilities Subsector,,,,4 months,More than 1 month,,,,No,N/A,N/A,https://www.usnews.com/news/best-states/new-mexico/articles/2020-03-21/new-mexico-agencies-on-edge-amid-rising-ransomware-attacks,,
312,7/1/2019,2019,Jul-19,Coventry School Department,RI,Rhode Island,Kent County,"Kent County, RI",Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://turnto10.com/i-team/nbc-10-i-team-coventry-public-schools-computers-attacked-with-malware,,
313,7/1/2019,2019,July 2019,Meier Tobler,Switzerland,,,,Information Technology,,,,,,,,,,,,https://www.cyberscoop.com/honeywell-hack-ransomware-manufacturing-norsk-hydro/,,
314,7/3/2019,2019,,"Athol Police Department, MA",MA,,,,Emergency Services,,,,,,"50,000","50,000",$50000 or less,No,N/A,N/A,https://www.govtech.com/security/Massachusetts-Communities-Fight-Back-Against-Cyberattacks.html,,
315,7/4/2019,2019,,"City of New Bedford, Massachusetts",MA,Massachusetts,Bristol County,"Bristol County, MA",Government Facilities,,Ryuk,S0446,days,1 week or less,5.3 million,5.3 million,More than $5000000,No,N/A,N/A,https://www.bleepingcomputer.com/news/security/hackers-ask-for-53-million-ransom-turn-down-400k-get-nothing/,,
316,7/6/2019,2019,,"La Porte County, Indiana",IN,Indiana,LaPorte County,"LaPorte County, IN",Government Facilities,,Ryuk,S0446,3 days,1 week or less,Undisclosed bitcoin,"$130,000 ",$1000000 or less,Yes,bitcoin,"$130,000",https://www.bleepingcomputer.com/news/security/la-porte-county-pays-130-000-ransom-to-ryuk-ransomware/,,
317,7/8/2019,2019,,Premier Family Medical,UT,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.modernhealthcare.com/cybersecurity/utah-practice-says-320000-patient-records-hit-ransomware-attack,,
318,7/8/2019,2019,,Syracuse City School District,NY,New York,Onondaga County,"Onondaga County, NY",Education Facilities Subsector,,,,2 weeks,1 month or less,,,,,,,https://www.syracuse.com/schools/2019/07/syracuse-ransomware-attack-school-district-expects-to-pay-50000-insurance-pays-rest.html,,
319,7/10/2019,2019,,"Berry Family Services, Rowlett, Texas",TX,,,,Healthcare and Public Health,,,,,,,,,Yes,,,https://www.beckershospitalreview.com/cybersecurity/texas-healthcare-provider-pays-hackers-in-ransomware-attack.html,,
320,7/10/2019,2019,,Monroe College (Manhattan and New Rochelle campuses),NY,New York,New York County and Westchester County,"New York County and Westchester County, NY",Education Facilities Subsector,,,,,,170 Bitcoin,$2 million,$5000000 or less,,,,https://www.bleepingcomputer.com/news/security/monroe-college-hit-with-ransomware-2-million-demanded/#.XSjWUBTBMFI.twitter,,
321,7/11/2019,2019,,Crowder College,MO,Missouri,Newton County,"Newton County, MO",Education Facilities Subsector,,,,,,$1.6 million,$1.6 million,$5000000 or less,No,N/A,N/A,http://www.crowdersentry.net/ransomware-attack-rattles-crowder/,,
322,7/18/2019,2019,,River Radio of Southern Illinois,IL,,,,Communications,,,,,,Undisclosed bitcoin,,,,,,https://thesouthern.com/news/local/crime-and-courts/river-radio-of-southern-illinois-hacked-files-rendered-useless/article_55a48832-04a1-5eb3-a86d-cb5c41c1ab77.html,,
323,7/18/2019,2019,,City of Exeter,PA,Pennsylvania,Luzerne County,"Luzerne County, PA",Government Facilities,,,,,,,,,Yes,N/A,"$38,000",https://www.witf.org/2019/10/01/pa-school-district-paid-over-38k-to-end-ransomware-attack/,,
324,7/18/2019,2019,,Town of Collierville,TN,Tennessee,Shelby County,"Shelby County, TN",Government Facilities,,Ryuk,S0446,,,,,,No,N/A,N/A,https://collierville.com/82-featured-news/1666-town-of-collierville-ransomware-attack,,
325,7/19/2019,2019,,"Camp Verde Unified School District, Arizona",AZ,Arizona,Yavapai County,"Yavapai County, AZ",Education Facilities Subsector,,,,,,,,,No,N/A,N/A,http://www.journalaz.com/news/education/49717-hackers-hit-cvusd-hit-with-ransomware-attack-as-school-year-starts.html,,
326,7/19/2019,2019,,Max Media,IL,,,,Communications,,,,,,Undisclosed bitcoin,,,,,,https://www.rbr.com/max-il-ill/,,
327,7/21/2019,2019,,"Sabine Parish School District, Louisiana",LA,Louisiana,Sabine Parish,"Sabine Parish, LA",Education Facilities Subsector,,,,weeks,1 month or less,,,,No,N/A,N/A,https://www.thenewsstar.com/story/news/education/2019/07/24/hacking-threat-targeted-monroe-city-morehouse-schools/1822318001/,,
328,7/21/2019,2019,,"Ouachita School District, Louisiana",LA,Louisiana,Ouachita Parish,"Ouachita Parish, LA",Education Facilities Subsector,,,,Weeks,1 month or less,,,,No,N/A,N/A,https://blog.emsisoft.com/en/34822/the-state-of-ransomware-in-the-us-report-and-statistics-2019/,,
329,7/22/2019,2019,,"Morehouse Parish School District, Louisiana",LA,Louisiana,Morehouse Parish,"Morehouse Parish, LA",Education Facilities Subsector,,,,weeks,1 month or less,,,,No,N/A,N/A,https://www.thenewsstar.com/story/news/education/2019/07/24/hacking-threat-targeted-monroe-city-morehouse-schools/1822318001/,,
330,7/22/2019,2019,,"Monroe City schools, Louisiana",LA,Louisiana,Ouachita Parish,"Ouachita Parish, LA",Education Facilities Subsector,,,,weeks,1 month or less,,,,No,N/A,N/A,https://www.thenewsstar.com/story/news/education/2019/07/24/hacking-threat-targeted-monroe-city-morehouse-schools/1822318001/,,
331,7/23/2019,2019,,Vigo County,IN,Indiana,Vigo County,"Vigo County, IN",Government Facilities,,,,,,,,,,,,https://www.govtech.com/data/Vigo-County-Ind-Computers-Hit-by-Ransomware-Attack.html,,
332,7/24/2019,2019,,Rockford Public Schools,MI,Michigan,Kent County,"Kent County, MI",Education Facilities Subsector,,,,,,,,,,,,https://www.rrstar.com/news/20190909/rockford-public-schools-phones-internet-disabled-by-ransomware,,
333,7/25/2019,2019,,"City Power, Johannesburg, South Africa",South Africa,,,,Energy,,,,~1 week,1 week or less,,,,No,N/A,N/A,https://securityboulevard.com/2019/07/city-power-johannesburg-hit-by-a-ransomware-attack-that-encrypted-all-its-databases-applications-and-network/,,
334,7/25/2019,2019,,Rockville Centre School District,NY,New York,Nassau County,"Nassau County, NY",Education Facilities Subsector,,Ryuk,S0446,,,"$176,000 ","$176,000 ",$1000000 or less,Yes,,"$88,000",https://blog.emsisoft.com/en/34822/the-state-of-ransomware-in-the-us-report-and-statistics-2019/,,
335,7/27/2019,2019,,"Tangipahoa Parish schools, Louisiana",LA,Louisiana,Tangipahoa Parish,"Tangipahoa Parish, LA",Education Facilities Subsector,,,,weeks,1 month or less,,,,No,N/A,N/A,https://securityaffairs.co/wordpress/89194/cyber-crime/louisiana-schools-cyber-attacks.html,,
336,7/30/2019,2019,,Ridgway Area School District,PA,Pennsylvania,Elk County,"Elk County, PA",Education Facilities Subsector,,,,,,,,,,,,https://wjactv.com/news/local/officials-elk-county-school-targeted-in-national-cyber-attack-dhs-investigating,,
337,8/1/2019,2019,,"Houston County schools, Alabama",AL,Alabama,Houston County,"Houston County, AL",Education Facilities Subsector,,,,1 week,1 week or less,,,,No,N/A,N/A,https://securityaffairs.co/wordpress/89370/malware/houston-county-schools-malware-attack.html https://www.bleepingcomputer.com/news/security/malware-attack-delays-alabama-districts-school-year-twice/,,2 attacks occurred at this school in the same week.
338,8/1/2019,2019,Aug-19,Regis University,CO,Colorado,Denver County,"Denver County, CO",Education Facilities Subsector,,,,,,,,,Yes,,,https://denver.cbslocal.com/2020/01/28/regis-university-cyber-summit/,,
339,8/1/2019,2019,,CHI Health Lakeside Hospital,NE,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.spamfighter.com/News-22479-Ransomware-attack-on-CHI-Health-impacted-48000-Lakeside-patients.htm,,
340,8/1/2019,2019,"Unspecified, August 2019",New Kent County Public Schools,VA,Virginia,New Kent County,"New Kent County, VA",Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://wtkr.com/2019/08/27/ransomware-attack-hits-new-kent-co-public-schools-ahead-of-new-school-year/,,
341,8/6/2019,2019,,Truman Medical Centers,MO,,,,Healthcare and Public Health,,,,,,,,,Yes,,,https://www.kcur.org/health/2019-08-07/truman-medical-centers-paid-ransomware-attackers-to-unlock-its-computer-system,,
342,8/10/2019,2019,,Wood Ranch Medical,CA,,,,Healthcare and Public Health,,,,Indefinite (business forced to close),Never Recovered,,,,No,N/A,N/A,https://www.woodranchmedical.com/,,Practice had to close and cease operations
343,8/12/2019,2019,,Monterey Health Center,OR,,,,Healthcare and Public Health,,,,,,,,,No,N/A,N/A,https://healthitsecurity.com/news/malicious-code-on-mission-health-store-website-undetected-for-3-years,,
344,8/16/2019,2019,,Bonham City Police Department,TX,,,,Emergency Services,,,,,,Undisclosed bitcoin,total of $2.5 million among 22 texas towns,$100000 or less,No,N/A,N/A,https://statescoop.com/texas-ransomware-attack-nine-named-feds-respond/,344-354: Hackers used a coordinated attack to hit 22 towns in Texas. They asked for a collective $2.5 million in bitcoin. No ransom was paid.,
345,8/16/2019,2019,,Graham City Police Department,TX,,,,Emergency Services,,,,,,Undisclosed bitcoin,total of $2.5 million among 22 texas towns,$100000 or less,No,N/A,N/A,https://statescoop.com/texas-ransomware-attack-nine-named-feds-respond/,344-354: Hackers used a coordinated attack to hit 22 towns in Texas. They asked for a collective $2.5 million in bitcoin. No ransom was paid.,
